AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,age_months,Pure
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,labrador retriever mix,Chocolate/White,108.0,No
A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,pit bull mix,Red/White,36.0,No
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,domestic shorthair mix,Calico,36.0,No
A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,chihuahua shorthair/jack russell terrier,Black/White,12.0,No
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,chihuahua shorthair mix,Black/Tan,24.0,No
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,pit bull,Brown Brindle,12.0,Yes
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,siamese mix,Flame Point,24.0,No
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,tibetan terrier mix,Brown,24.0,No
A681481,,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Blue/White,24.0,No
A714177,,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Tortie,3.0,No
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,miniature pinscher/chihuahua shorthair,Tricolor,1.0,No
A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,2.0,No
A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,domestic medium hair mix,Cream Tabby,10.0,No
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,domestic medium hair mix,Brown Tabby/White,24.0,No
A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,domestic medium hair mix,Calico,2.0,No
A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Yellow,6.0,No
A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,2.0,No
A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,dachshund mix,Tan,12.0,No
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,dachshund mix,Brown/White,6.0,No
A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Black/White,12.0,No
A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Calico,0.75,No
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Brown Tabby,24.0,No
A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,blue lacy mix,Blue/White,11.0,No
A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,rat terrier mix,Tricolor,3.0,No
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,dachshund longhair,Brown,24.0,Yes
A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Red,24.0,No
A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,pit bull mix,Brown/White,24.0,No
A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,domestic longhair,Calico,4.0,Yes
A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,dachshund/chihuahua shorthair,Red,4.0,No
A688067,,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Torbie,5.0,No
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Black Tabby/White,2.0,No
A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,chihuahua shorthair mix,Brown/White,84.0,No
A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Black/White,48.0,No
A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Tortie/Calico,0.75,No
A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,border collie mix,Black/White,6.0,No
A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,labrador retriever mix,Black/White,5.0,No
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,maltese,White,96.0,Yes
A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue Tabby/White,1.0,No
A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,labrador retriever mix,White,5.0,No
A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,1.0,No
A690519,,2014-10-23 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Blue Tabby,4.0,No
A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,White/Tan,12.0,No
A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,labrador retriever/rottweiler,Black/Brown,24.0,No
A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,Tortie,132.0,No
A701153,,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered Male,dachshund/manchester terrier,Tricolor,2.0,No
A710071,Herb,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,White/Black,2.0,No
A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact Female,domestic shorthair mix,Brown Tabby,2.0,No
A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,plott hound/labrador retriever,Black/Brown Brindle,1.0,No
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,chihuahua shorthair/rat terrier,White/Tan,84.0,No
A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Cream Tabby/White,0.13333333333333333,No
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,siberian husky,White/Gray,48.0,Yes
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed Female,australian cattle dog mix,Tan/White,24.0,No
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,pointer mix,White/Black,12.0,No
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,pit bull mix,Brown Brindle/White,24.0,No
A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,domestic medium hair mix,Brown Tabby,1.0,No
A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black/White,12.0,No
A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,yorkshire terrier/miniature poodle,Tan/Silver,24.0,No
A664304,,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Orange Tabby,10.0,No
A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,german shepherd mix,White,48.0,No
A680585,Olivia,2014-07-16 17:48:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby/White,4.0,No
A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,catahoula/labrador retriever,White/Tan,72.0,No
A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,miniature poodle mix,Black/White,9.0,No
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,,Dog,Spayed Female,jack russell terrier/pit bull,Red,36.0,No
A676430,Tabitha,2014-11-23 12:43:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Torbie,8.0,No
A677577,Roxie,2014-05-01 16:12:00,Adoption,,Dog,Spayed Female,queensland heeler/shetland sheepdog,Red Tick/Black,10.0,No
A683666,,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,White/Cream Tabby,12.0,No
A713754,Harper,2015-10-27 16:44:00,Adoption,,Dog,Neutered Male,catahoula mix,Blue Merle,12.0,No
A703631,Hanley,2015-07-03 18:50:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Black/White,12.0,No
A676209,Boomer,2014-07-24 15:02:00,Adoption,Foster,Dog,Neutered Male,labrador retriever mix,Yellow,3.0,No
A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,,Dog,Intact Male,chihuahua shorthair mix,Chocolate/Tan,72.0,No
A671105,,2014-01-21 15:20:00,Transfer,SCRP,Cat,Unknown,domestic longhair mix,Black,12.0,No
A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,,Dog,Neutered Male,american pit bull terrier mix,Tan/White,24.0,No
A667963,,2013-11-30 18:48:00,Adoption,,Dog,Spayed Female,dachshund longhair mix,Tan/White,60.0,No
A702207,,2015-05-10 17:16:00,Euthanasia,Suffering,Cat,Neutered Male,domestic longhair mix,Orange Tabby/White,144.0,No
A672065,Dutchess,2014-04-08 12:50:00,Adoption,,Dog,Spayed Female,german shepherd mix,Sable,24.0,No
A688852,Buddy,2014-10-18 18:48:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Black/White,72.0,No
A705885,Meowser,2015-06-27 18:24:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,3.0,No
A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,,Dog,Spayed Female,doberman pinsch mix,Tricolor,8.0,No
A665666,Teddy,2013-12-27 15:49:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Black,12.0,No
A714575,Isis,2015-10-31 15:18:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black,180.0,No
A690480,,2014-10-22 17:46:00,Transfer,Partner,Dog,Intact Female,pointer mix,Chocolate/White,0.75,No
A691636,Dali,2014-11-13 16:07:00,Adoption,,Dog,Neutered Male,dachshund/jack russell terrier,White/Brown,5.0,No
A678482,,2014-05-14 19:15:00,Adoption,,Dog,Neutered Male,miniature poodle/miniature schnauzer,Black/White,24.0,No
A687785,Bella,2014-12-30 09:38:00,Adoption,Foster,Dog,Spayed Female,whippet mix,Brown Brindle/White,24.0,No
A716839,Dino,2015-11-27 14:06:00,Return_to_owner,,Dog,Intact Male,australian shepherd mix,Brown Merle/White,24.0,No
A718547,,2016-01-11 14:23:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Tan/White,24.0,No
A687989,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Calico,0.75,No
A694408,Emma,2015-05-28 13:14:00,Transfer,Partner,Dog,Spayed Female,pit bull mix,Brown Tiger/White,12.0,No
A698940,,2015-03-21 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,24.0,No
A666074,Jackson,2013-10-30 15:14:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,1.0,No
A675549,Marco,2014-04-08 15:29:00,Transfer,Partner,Dog,Neutered Male,chihuahua shorthair mix,White/Brown,48.0,No
A682131,,2014-06-24 19:15:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,0.75,No
A674737,Byron,2014-05-27 08:21:00,Adoption,Foster,Cat,Intact Male,domestic shorthair mix,Black,2.0,No
A719876,Oreo,2016-02-02 15:58:00,Transfer,Partner,Dog,Spayed Female,rat terrier mix,White/Black,12.0,No
A676626,Pia,2014-05-30 16:54:00,Adoption,Foster,Dog,Spayed Female,english pointer mix,Brown/White,2.0,No
A666478,Bleu,2013-11-04 17:51:00,Adoption,,Dog,Spayed Female,miniature schnauzer/yorkshire terrier,Black/White,12.0,No
